砦			隣接同盟								隣接君主								★								
砦	★	制圧	北西	北	北東	南西	南	南東	西	東	北西	北	北東	南西	南	南東	西	東	北西	北	北東	南西	南	南東	西	東	
北東砦624(769,284)	2	-	FOXHOUDN	FOXHOUDN	FOXHOUDN	FOXHOUDN	FOXHOUDN	FOXHOUDN	FOXHOUDN	FOXHOUDN	一人四天王	あんまり	あんまり	あんまり	あんまり	あんまり	あんまり	あんまり	3	7	3	2	1	4	2	4
北東砦623(771,238)	1	鴨葱R-18同盟						鴨葱R-18同盟								タムドク			3	5	4	4	7	0	5	6
北東砦622(773,194)	3	鴨葱R-18同盟							鴨葱R-18同盟								イジア		4	3	1	2	2	4	2	1
北東砦621(770,152)	5	-	鴨葱R-18同盟	鴨葱R-18同盟	鴨葱R-18同盟	鴨葱R-18同盟	鴨葱R-18同盟	鴨葱R-18同盟	鴨葱R-18同盟	鴨葱R-18同盟	サリャン	サリャン	サリャン	サリャン	サリャン	サリャン	広開土王	サリャン	4	2	2	6	6	4	4	6
北東砦620(767,113)	2	FOXHOUDN																	2	2	4	1	2	2	1	1
北東砦619(766,66)	3	-			FOXHOUDN								HANABI						1	4	3	5	4	4	1	4
北東砦618(769,26)	1	-																	5	5	4	3	3	2	1	1
南東砦624(773,-24)	4	-					それいけヨシヒコ			それいけヨシヒコ					まろっち			なうなう	1	2	4	6	1	4	6	3
南東砦625(770,-64)	3	それいけヨシヒコ		それいけヨシヒコ								まろっち							1	1	6	3	2	4	1	1
南東砦626(774,-109)	1	-	それいけヨシヒコ								きるひ								2	2	2	6	4	5	4	1
南東砦627(767,-157)	3	それいけヨシヒコ	それいけヨシヒコ								牛輔様								1	6	4	6	2	2	4	1
南東砦628(769,-199)	1	それいけヨシヒコ																	4	1	1	1	7	2	3	5
南東砦629(766,-240)	4	-																	3	7	2	3	3	2	1	4
南東砦630(771,-282)	1	-							それいけヨシヒコ								青嵐		5	4	5	2	1	2	0	1
南東砦631(770,-332)	1	-																	2	4	1	5	2	1	2	2
南東砦632(769,-372)	2	-																	5	5	1	6	3	3	2	4
南東砦633(767,-422)	2	-																	5	1	3	1	5	6	2	4
南東砦634(769,-466)	4	-				それいけヨシヒコ								Carnegy					4	3	4	2	6	4	2	4
南東砦635(771,-504)	2	-																	2	4	1	3	2	3	2	4
南東砦636(773,-549)	1	-																	5	4	3	2	7	1	6	1
南東砦637(773,-597)	2	-				それいけヨシヒコ			それいけヨシヒコ					ダンディー坂野			ダンディー坂野		2	6	7	2	4	6	1	2
南東砦638(767,-642)	2	-					それいけヨシヒコ								ランス				2	4	1	1	1	1	4	3
南東砦639(773,-683)	2	-				それいけヨシヒコ			それいけヨシヒコ					破戒僧			梅安		3	9	3	1	2	5	2	3
南東砦640(769,-729)	2	-							それいけヨシヒコ								酩酊サウザー		7	2	7	8	1	4	2	5
南東砦641(767,-773)	5	-		それいけヨシヒコ						それいけヨシヒコ		☆月★						なうなう	5	2	3	3	3	2	7	3
北東砦617(751,745)	2	-	替天行道総本部	替天行道総本部	替天行道総本部		替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	SMOKE	SMOKE	SMOKE		ちーぱお	SMOKE	SMOKE	ちーぱお	6	5	4	1	2	3	4	2
北東砦616(746,703)	1	-	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	パーン	豹	パーン	パーン	パーン	パーン	パーン	はっしー	8	0	1	1	4	4	5	3
北東砦615(744,657)	2	-			替天行道総本部					替天行道総本部			ドラえもん					ドラえもん	5	3	3	1	2	4	3	2
北東砦614(752,619)	1	-																	2	7	2	2	3	1	3	3
北東砦613(745,576)	4	-	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	ガウォーク	ガウォーク	ガウォーク	ガウォーク	ガウォーク	でに	ガウォーク	ガウォーク	8	3	2	1	5	3	7	1
北東砦612(750,532)	3	-	★ゴン太王国★	★ゴン太王国★	★ゴン太王国★	★ゴン太王国★	★ゴン太王国★	★ゴン太王国★	★ゴン太王国★	★ゴン太王国★	プラズマ	プラズマ	プラズマ	プラズマ	ユッチ	プラズマ	プラズマ	プラズマ	4	2	6	5	1	0	4	5
北東砦611(747,486)	1	-		★ゴン太王国★	★ゴン太王国★		★ゴン太王国★	FOXHOUDN	★ゴン太王国★			バジル	ＨＩＲＯ		白狼	まちゃ	白狼		2	1	1	2	1	2	2	3
北東砦610(746,443)	4	-				FOXHOUDN								やまん					1	1	5	0	4	2	2	2
北東砦609(752,399)	5	-					FOXHOUDN			FOXHOUDN					うにうに			うにうに	1	4	3	5	6	4	2	1
北東砦608(748,351)	1	-					FOXHOUDN			FOXHOUDN					ジェンキンソン			ジェンキンソン	4	5	1	3	2	3	3	2
北東砦607(746,304)	2	-								FOXHOUDN								一人四天王	3	4	3	5	2	4	2	1
北東砦606(752,261)	5	-		鴨葱R-18同盟					FOXHOUDN	鴨葱R-18同盟		広開土王					spruce	イジア	5	0	2	1	7	2	1	2
北東砦605(752,224)	5	鴨葱R-18同盟						鴨葱R-18同盟								広開土王			1	6	2	1	3	2	2	5
北東砦604(751,175)	1	鴨葱R-18同盟																	5	4	4	5	2	2	4	5
北東砦603(750,136)	3	FOXHOUDN				FOXHOUDN								ゴルベーザ					6	3	2	2	4	4	4	1
北東砦602(745,84)	1	-						替天行道総本部		替天行道総本部						ちゅも		ちゅも	3	1	1	5	4	2	3	0
北東砦601(747,44)	1	替天行道総本部					替天行道総本部								ポッキー4姉妹				2	2	1	2	2	3	3	2
北東砦656(752,2)	2	-																	5	2	3	3	1	3	1	2
南東砦607(752,-45)	2	それいけヨシヒコ							それいけヨシヒコ								まろっち		6	5	1	3	2	3	2	1
南東砦608(749,-90)	1	それいけヨシヒコ					それいけヨシヒコ		それいけヨシヒコ						きるひ		きるひ		3	4	3	2	1	3	2	1
南東砦609(746,-134)	4	-		それいけヨシヒコ						それいけヨシヒコ		牛輔様						牛輔様	2	1	5	2	2	1	5	3
南東砦610(750,-175)	3	それいけヨシヒコ																	4	3	6	2	1	6	2	2
南東砦611(750,-216)	1	-																	4	1	2	1	6	2	3	2
南東砦612(748,-263)	2	それいけヨシヒコ																	3	1	4	3	1	2	1	2
南東砦613(751,-308)	5	-																	1	8	2	4	3	5	7	7
南東砦614(748,-350)	1	-			それいけヨシヒコ								SHINJI						3	6	1	2	1	8	2	1
南東砦615(748,-396)	5	-																	3	5	3	4	1	3	1	5
南東砦616(751,-440)	1	-																	5	2	1	1	1	5	4	6
南東砦617(750,-488)	1	-				それいけヨシヒコ								Carnegy					2	4	3	2	2	2	6	4
南東砦618(744,-529)	5	-																	3	5	6	1	6	2	2	2
南東砦619(745,-570)	2	-																	1	6	3	3	2	2	2	2
南東砦620(750,-616)	2	-						それいけヨシヒコ								ダンディー坂野			7	4	2	6	1	1	4	4
南東砦621(746,-662)	1	-					それいけヨシヒコ			それいけヨシヒコ					ランス			ランス	5	2	1	4	1	2	5	2
南東砦622(744,-703)	1	-					それいけヨシヒコ								破戒僧				6	4	3	4	3	5	2	3
南東砦623(751,-745)	4	-	それいけヨシヒコ			それいけヨシヒコ	それいけヨシヒコ			それいけヨシヒコ	shi-ani			ruukomo	ruukomo			ruukomo	2	6	3	8	1	3	7	1
北東砦600(722,773)	2	-	替天行道総本部	替天行道総本部	替天行道総本部						ふぁるこん	vostro	vostro						4	2	2	4	2	2	3	4
北東砦599(724,724)	5	-	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	vostro	vostro	vostro	vostro	ターヘー	vostro	ちーぱお	vostro	1	3	2	2	0	3	3	2
北東砦598(730,685)	1	-	替天行道総本部		替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部		ぷにょ		ぷにょ	ぷにょ	ぷにょ	劉子	ぷにょ		1	7	4	1	4	1	3	3
北東砦597(723,639)	2	-																	3	1	2	3	1	2	2	4
北東砦596(729,598)	2	-					替天行道総本部								ガウォーク				4	4	2	3	3	5	2	1
北東砦595(722,551)	1	替天行道総本部				★ゴン太王国★	替天行道総本部		替天行道総本部					ふくろう	judy		でに		8	1	2	2	5	2	1	1
北東砦594(726,502)	4	-	★ゴン太王国★	★ゴン太王国★	★ゴン太王国★	★ゴン太王国★	★ゴン太王国★	★ゴン太王国★	★ゴン太王国★	★ゴン太王国★	プラズマ	ユッチ	ユッチ	ユッチ	ユッチ	ユッチ	ユッチ	ユッチ	3	3	1	6	3	0	3	4
北東砦593(723,461)	3	-	ごせんふ	ごせんふ	ごせんふ	ごせんふ	ごせんふ	ごせんふ		ごせんふ	VぺろV	VぺろV	VぺろV	VぺろV	ボック	VぺろV		VぺろV	3	3	1	2	2	2	4	2
北東砦592(729,417)	3	-				FOXHOUDN								パン☆全裸					3	6	2	2	5	2	5	4
北東砦591(729,370)	2	FOXHOUDN	FOXHOUDN						FOXHOUDN		パン☆全裸						マイク		0	3	1	3	3	6	2	1
北東砦590(724,326)	1	-						FOXHOUDN		FOXHOUDN						D・クレア		きるち	4	5	4	3	4	1	2	2
北東砦589(723,283)	3	FOXHOUDN								FOXHOUDN								あんまり	4	4	4	5	3	5	5	2
北東砦588(729,243)	2	鴨葱R-18同盟						鴨葱R-18同盟	替天行道総本部							イジア	紅美鈴		4	1	3	3	4	2	1	3
北東砦587(729,195)	2	鴨葱R-18同盟							鴨葱R-18同盟								広開土王		5	5	5	4	3	5	9	6
北東砦586(729,151)	2	FOXHOUDN								FOXHOUDN								ゴルベーザ	1	1	1	4	3	4	1	1
北東砦585(722,114)	4	-	FOXHOUDN	FOXHOUDN	FOXHOUDN	FOXHOUDN	FOXHOUDN	FOXHOUDN	FOXHOUDN	FOXHOUDN	かえるあんこう	かえるあんこう	かえるあんこう	かえるあんこう	かえるあんこう	かえるあんこう	かえるあんこう	かえるあんこう	1	3	6	1	5	4	1	1
北東砦584(725,67)	1	替天行道総本部				替天行道総本部								ちゅも					4	2	1	1	2	5	3	3
北東砦583(722,21)	3	-	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	劉子	劉子	劉子	劉子	劉子	劉子	劉子	劉子	0	2	2	3	6	2	5	3
南東砦589(723,-18)	2	それいけヨシヒコ							それいけヨシヒコ								ぼへみあん狸		2	5	1	4	3	2	2	2
南東砦590(724,-70)	1	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	きるひ	昼行燈	昼行燈	きるひ	きるひ	きるひ	きるひ	昼行燈	2	2	3	1	2	1	2	2
南東砦591(727,-109)	5	-			それいけヨシヒコ					それいけヨシヒコ			牛輔様					牛輔様	6	4	3	6	5	1	1	1
南東砦592(730,-152)	2	それいけヨシヒコ						それいけヨシヒコ								1117			4	3	4	4	4	1	2	2
南東砦593(726,-198)	2	-		それいけヨシヒコ	それいけヨシヒコ							ぱくた	ぱくた						4	2	2	3	6	2	3	5
南東砦594(722,-240)	2	それいけヨシヒコ								それいけヨシヒコ								beck	6	5	1	3	1	3	4	9
南東砦595(726,-290)	5	-																	2	2	2	4	2	5	2	1
南東砦596(730,-330)	1	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ							SHINJI	SHINJI							1	0	5	4	4	1	3	5
南東砦597(723,-371)	1	それいけヨシヒコ		それいけヨシヒコ						それいけヨシヒコ		guruguru						guruguru	3	2	4	3	1	3	3	2
南東砦598(728,-421)	2	-																	3	4	3	2	2	4	5	3
南東砦599(724,-460)	4	-																	4	4	2	6	1	1	3	5
南東砦600(723,-503)	2	-					それいけヨシヒコ			それいけヨシヒコ					Carnegy			Carnegy	4	5	4	1	2	5	5	7
南東砦601(728,-549)	2	-		それいけヨシヒコ	それいけヨシヒコ		それいけヨシヒコ		それいけヨシヒコ			ちょっちゅね～	ちょっちゅね～		ちょっちゅね～		ちょっちゅね～		3	1	1	4	3	4	2	4
南東砦602(722,-590)	3	-																	3	2	1	1	1	2	3	1
南東砦603(730,-639)	5	-						それいけヨシヒコ								ダンディー坂野			6	2	2	2	5	1	7	3
南東砦604(723,-679)	3	-				それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ						ランス	ランス	ランス			3	3	1	1	2	3	5	6
南東砦605(730,-724)	3	-						それいけヨシヒコ								バルス			2	6	1	2	3	2	2	2
南東砦606(725,-774)	2	-	それいけヨシヒコ								バルス								2	5	3	6	2	3	4	1
北東砦582(708,748)	5	-	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	美狼	美狼	美狼	美狼	美狼	vostro	美狼	ふぁるこん	1	1	1	6	1	3	4	3
北東砦581(707,702)	3	-	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	かなぴょん	かなぴょん	ゴードン	ゴードン	ゴードン	ゴードン	ゴードン	ゴードン	2	2	1	5	4	2	4	2
北東砦580(702,658)	1	-																	5	5	1	1	6	4	5	1
北東砦579(708,612)	2	-																	3	2	2	3	5	1	2	6
北東砦578(703,571)	1	-	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	judy	judy	judy	でに	judy	judy	judy	judy	6	2	0	3	5	3	5	1
北東砦577(705,531)	2	-				★ゴン太王国★			★ゴン太王国★					モジモジ君			トール		5	2	2	1	6	4	2	1
北東砦576(701,485)	2	-	ごせんふ	ごせんふ	ごせんふ	ごせんふ	ごせんふ	ごせんふ	ごせんふ	ごせんふ	ウルルンすず	ウルルンすず	yasuo	ウルルンすず	ウルルンすず	VぺろV	yasuo	VぺろV	5	3	7	4	4	2	0	1
北東砦575(703,443)	1	-	ごせんふ	ごせんふ	ごせんふ	ごせんふ	ごせんふ	ごせんふ	ごせんふ	ごせんふ	ぱ～る	ダビドフNo.2	ダビドフNo.2	ダビドフNo.2	ダビドフNo.2	ダビドフNo.2	ダビドフNo.2	ダビドフNo.2	2	4	1	6	2	2	3	0
北東砦574(703,395)	1	FOXHOUDN					FOXHOUDN		FOXHOUDN	FOXHOUDN					ナル…		ナル…	マイク	5	3	4	2	1	5	8	2
北東砦573(704,351)	1	FOXHOUDN		FOXHOUDN		FOXHOUDN	FOXHOUDN			FOXHOUDN		アーム		彪	アーム			アーム	4	1	6	1	1	3	4	1
北東砦572(702,308)	1	FOXHOUDN																	3	1	1	1	2	5	2	4
北東砦571(702,263)	5	-	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	くりにゃ	紅美鈴	くりにゃ	くりにゃ	くりにゃ	くりにゃ	くりにゃ	紅美鈴	4	1	1	5	2	1	4	1
北東砦570(706,218)	1	-			替天行道総本部				FOXHOUDN				紅美鈴				えりあす		3	6	3	1	2	3	1	5
北東砦569(707,172)	1	鴨葱R-18同盟																	7	2	2	2	1	1	2	4
北東砦568(707,135)	1	FOXHOUDN							FOXHOUDN								HANABI		2	3	1	2	6	2	4	4
北東砦567(705,84)	5	-	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	kuri	kuri	kuri	け～し♪	け～し♪	け～し♪	け～し♪	け～し♪	1	4	8	0	2	5	5	2
北東砦566(702,45)	5	-	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	のぞりお	のぞりお	のぞりお	のぞりお	えつお	ポッキー4姉妹	のぞりお	のぞりお	4	2	3	4	1	2	1	2
南東砦5(708,-1)	5	それいけヨシヒコ				それいけヨシヒコ								マサ☆					5	4	4	3	3	2	6	3
南東砦572(700,-45)	4	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	昼行燈	昼行燈	昼行燈	昼行燈	昼行燈	昼行燈	きるひ	昼行燈	7	3	5	5	5	6	3	1
南東砦573(707,-91)	2	それいけヨシヒコ					それいけヨシヒコ		それいけヨシヒコ						牛輔様		牛輔様		1	4	5	2	2	5	1	4
南東砦574(706,-128)	3	それいけヨシヒコ																	1	3	4	2	1	4	2	2
南東砦575(702,-174)	5	-	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ		それいけヨシヒコ	それいけヨシヒコ	ぱくた	ぱくた	ぱくた	ぱくた	ぱくた		ぱくた	ぱくた	3	3	3	7	2	3	3	2
南東砦576(702,-216)	1	それいけヨシヒコ				それいけヨシヒコ								beck					6	4	4	1	4	1	1	2
南東砦577(701,-262)	4	-					それいけヨシヒコ		それいけヨシヒコ						エイダ		エイダ		7	1	5	5	2	3	0	5
南東砦578(704,-312)	2	-	それいけヨシヒコ	それいけヨシヒコ		それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	いわちゃん	SHINJI		SHINJI	SHINJI	SHINJI	SHINJI	SHINJI	4	3	2	5	3	1	2	2
南東砦579(706,-349)	2	それいけヨシヒコ	それいけヨシヒコ								guruguru								3	4	2	5	2	1	5	1
南東砦580(700,-396)	5	-		それいけヨシヒコ						それいけヨシヒコ		海部長						海部長	6	3	5	3	4	1	3	0
南東砦581(707,-437)	2	-																	5	6	3	1	2	3	1	1
南東砦582(702,-482)	5	-																	1	1	9	4	4	2	4	1
南東砦583(701,-530)	1	-				それいけヨシヒコ								Carnegy					3	1	1	2	4	1	5	2
南東砦584(705,-568)	1	-	それいけヨシヒコ			それいけヨシヒコ			それいけヨシヒコ		ちょっちゅね～			ちょっちゅね～			ちょっちゅね～		1	1	6	2	7	1	1	3
南東砦585(706,-620)	1	-																	6	3	1	1	4	2	1	4
南東砦586(701,-657)	3	-				それいけヨシヒコ								ダンディー坂野					2	6	1	1	3	2	5	6
南東砦587(706,-700)	5	-		それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ			それいけヨシヒコ	それいけヨシヒコ		ぼーぼーｂ	ランス	酩酊サウザー			ランス	ランス	2	3	3	1	4	2	1	3
南東砦588(700,-746)	1	-								それいけヨシヒコ								バルス	5	2	6	4	3	4	4	2
北東砦565(678,769)	4	-				替天行道総本部			替天行道総本部					鵺御前			鵺御前		5	4	4	2	6	6	2	1
北東砦564(678,727)	1	-					替天行道総本部			替天行道総本部					翔タン			イマ	1	5	1	4	2	1	2	1
北東砦563(678,686)	1	-	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	awr	ya-ma	クロ・グリフォン	クロ・グリフォン	クロ・グリフォン	クロ・グリフォン	awr	クロ・グリフォン	2	5	3	0	5	5	2	5
北東砦562(678,635)	2	-	替天行道総本部						替天行道総本部		さくぴー						さくぴー		1	3	4	4	3	2	0	6
北東砦561(683,592)	1	-																	2	1	5	2	3	6	1	3
北東砦560(684,553)	5	-	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	プーギー	プーギー	プーギー	プーギー	でに	プーギー	でに	プーギー	9	4	7	5	2	5	3	2
北東砦559(683,507)	2	-	★ゴン太王国★	★ゴン太王国★	★ゴン太王国★	★ゴン太王国★	★ゴン太王国★	★ゴン太王国★	★ゴン太王国★	★ゴン太王国★	ふふふふふ	ふふふふふ	ふふふふふ	ふふふふふ	ふふふふふ	ふふふふふ	ふふふふふ	ふふふふふ	1	2	2	1	6	3	4	3
北東砦558(683,463)	2	-	ごせんふ	ごせんふ	ごせんふ	ごせんふ	ごせんふ	ごせんふ	ごせんふ	ごせんふ	グランマ	グランマ	ボック	VRX熊五郎	グランマ	グランマ	グランマ	グランマ	5	7	1	2	8	4	1	5
北東砦557(678,416)	3	-							ごせんふ								セイナ		3	3	4	3	2	2	2	5
北東砦556(679,378)	1	-	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	えぷそん	えぷそん	えぷそん	えぷそん	えぷそん	えぷそん	えぷそん	えぷそん	2	5	5	3	2	3	2	5
北東砦555(679,327)	1	FOXHOUDN			FOXHOUDN			FOXHOUDN		FOXHOUDN			きみまし			ナル…		一人四天王	5	4	0	3	4	2	3	2
北東砦554(686,283)	2	-		替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部		くりにゃ	くりにゃ	くりにゃ	くりにゃ	くりにゃ	紅美鈴	くりにゃ	9	3	2	0	4	2	1	4
北東砦553(682,243)	3	-	FOXHOUDN	FOXHOUDN	FOXHOUDN	FOXHOUDN	FOXHOUDN	FOXHOUDN	FOXHOUDN	FOXHOUDN	ぱずう	ぱずう	ぱずう	ぱずう	ぱずう	ぱずう	ぱずう	ぱずう	3	2	2	6	4	2	3	1
北東砦552(684,201)	1	-	私立白皇学院	私立白皇学院	私立白皇学院	私立白皇学院	私立白皇学院	私立白皇学院	私立白皇学院	私立白皇学院	ジェフベック	ジェフベック	ジェフベック	フェルナンド	ジェフベック	ジェフベック	式波	ジェフベック	2	1	3	1	2	3	4	4
北東砦551(682,157)	1	鴨葱R-18同盟			鴨葱R-18同盟					鴨葱R-18同盟			広開土王					サリャン	5	3	7	5	4	3	3	3
北東砦550(684,114)	1	FOXHOUDN							FOXHOUDN								りっちー		6	2	4	1	2	1	1	6
北東砦549(680,62)	1	替天行道総本部		替天行道総本部			替天行道総本部	替天行道総本部		替天行道総本部		ya-ma			ya-ma	ya-ma		ちゅも	4	1	4	2	2	2	2	5
北東砦548(684,20)	3	替天行道総本部				替天行道総本部	FOXHOUDN							のぞりお	しゅにん				6	1	2	4	6	5	2	3
南東砦554(683,-21)	3	それいけヨシヒコ	それいけヨシヒコ								皇凱								4	3	6	4	2	6	3	1
南東砦555(682,-70)	1	それいけヨシヒコ			それいけヨシヒコ					それいけヨシヒコ			昼行燈					昼行燈	2	2	7	4	3	2	4	6
南東砦556(685,-111)	2	それいけヨシヒコ				それいけヨシヒコ								三十二					3	2	2	6	3	2	3	2
南東砦557(684,-151)	3	それいけヨシヒコ	それいけヨシヒコ								なうなう								1	2	2	1	2	2	2	2
南東砦558(681,-194)	1	それいけヨシヒコ		それいけヨシヒコ					それいけヨシヒコ	それいけヨシヒコ		海馬竜					海馬竜	海馬竜	4	2	2	3	5	5	1	1
南東砦559(684,-242)	4	-					それいけヨシヒコ		それいけヨシヒコ						エイダ		エイダ		3	3	2	3	1	6	2	2
南東砦560(682,-290)	1	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	いわちゃん	SHINJI	SHINJI	いわちゃん	SHINJI	SHINJI	SHINJI	SHINJI	5	5	4	3	5	3	0	3
南東砦561(684,-329)	1	それいけヨシヒコ					それいけヨシヒコ								guruguru				5	5	2	5	1	2	7	3
南東砦562(680,-373)	2	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	ちょっちゅね～	ちょっちゅね～	ちょっちゅね～	ちょっちゅね～	ちょっちゅね～	ちょっちゅね～	ちょっちゅね～	ちょっちゅね～	6	1	3	2	1	5	4	5
南東砦563(682,-417)	1	-																	2	2	4	1	5	2	4	2
南東砦564(681,-462)	1	-																	6	5	6	2	9	3	4	3
南東砦565(680,-502)	2	-																	1	3	5	2	3	3	3	7
南東砦566(682,-550)	2	-								それいけヨシヒコ								Carnegy	4	3	3	2	1	2	3	3
南東砦567(682,-596)	3	-		それいけヨシヒコ		それいけヨシヒコ			それいけヨシヒコ			ちょっちゅね～		ちょっちゅね～			ちょっちゅね～		6	1	1	2	4	3	3	1
南東砦568(681,-635)	1	-					それいけヨシヒコ								レミエル				2	6	5	5	2	1	6	1
南東砦569(682,-683)	5	-				それいけヨシヒコ	それいけヨシヒコ							☆月★	白い鹿				5	3	4	2	1	4	4	2
南東砦570(683,-728)	3	-			それいけヨシヒコ								コロ						5	4	1	3	4	3	2	4
南東砦571(682,-766)	4	-			それいけヨシヒコ								バルス						1	6	1	3	2	4	1	3
北東砦547(661,748)	5	-			替天行道総本部	替天行道総本部	替天行道総本部			替天行道総本部			鵺御前	vostro	鵺御前			鵺御前	3	4	2	3	0	1	3	2
北東砦546(663,707)	2	-						替天行道総本部								翔タン			7	5	2	5	2	2	2	1
北東砦545(660,662)	3	-	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	awr	えつお	ya-ma	awr	awr	awr	えつお	awr	1	2	0	2	4	6	2	6
北東砦544(663,618)	1	-	替天行道総本部			替天行道総本部					夏みかん			夏みかん					3	7	5	1	1	3	9	6
